Using: /mnt/apps/public/COE/synopsys_apps/hspice/W-2024.09-SP1/hspice/linux64/hspice  -i '/mnt/coe/workspace/ece/ece546-spr25/group8/group8_project/simulation/group8,tb2025,schematic/history_1/simulation/HSPICE_default/HSPICE/nominal/netlist/input.spi' -o 'hspice'

0.00% Tran Time= 1.00000e-13s Estimated Time Left:90:05:29        
1.01% Tran Time= 1.01430e-10s Estimated Time Left: 0:06:54        
1.86% Tran Time= 1.86147e-10s Estimated Time Left: 0:04:36        
2.87% Tran Time= 2.87452e-10s Estimated Time Left: 0:03:31        
3.54% Tran Time= 3.54385e-10s Estimated Time Left: 0:03:17        
4.52% Tran Time= 4.51759e-10s Estimated Time Left: 0:02:54        
5.37% Tran Time= 5.37485e-10s Estimated Time Left: 0:02:43        
6.16% Tran Time= 6.16200e-10s Estimated Time Left: 0:02:36        
6.99% Tran Time= 6.99291e-10s Estimated Time Left: 0:02:30        
7.77% Tran Time= 7.77342e-10s Estimated Time Left: 0:02:25        
8.59% Tran Time= 8.58826e-10s Estimated Time Left: 0:02:21        
9.33% Tran Time= 9.33287e-10s Estimated Time Left: 0:02:19        
10.11% Tran Time= 1.01127e-09s Estimated Time Left: 0:02:16        
10.91% Tran Time= 1.09077e-09s Estimated Time Left: 0:02:13        
11.66% Tran Time= 1.16578e-09s Estimated Time Left: 0:02:11        
12.40% Tran Time= 1.23987e-09s Estimated Time Left: 0:02:09        
13.15% Tran Time= 1.31548e-09s Estimated Time Left: 0:02:07        
13.98% Tran Time= 1.39812e-09s Estimated Time Left: 0:02:05        
14.77% Tran Time= 1.47671e-09s Estimated Time Left: 0:02:03        
15.50% Tran Time= 1.55018e-09s Estimated Time Left: 0:02:02        
16.31% Tran Time= 1.63066e-09s Estimated Time Left: 0:02:00        
17.28% Tran Time= 1.72750e-09s Estimated Time Left: 0:01:56        
18.07% Tran Time= 1.80668e-09s Estimated Time Left: 0:01:55        
18.89% Tran Time= 1.88861e-09s Estimated Time Left: 0:01:53        
19.69% Tran Time= 1.96935e-09s Estimated Time Left: 0:01:51        
20.50% Tran Time= 2.04985e-09s Estimated Time Left: 0:01:50        
21.21% Tran Time= 2.12058e-09s Estimated Time Left: 0:01:49        
22.05% Tran Time= 2.20514e-09s Estimated Time Left: 0:01:47        
22.87% Tran Time= 2.28682e-09s Estimated Time Left: 0:01:46        
23.72% Tran Time= 2.37158e-09s Estimated Time Left: 0:01:44        
24.85% Tran Time= 2.48550e-09s Estimated Time Left: 0:01:41        
25.75% Tran Time= 2.57521e-09s Estimated Time Left: 0:01:39        
26.72% Tran Time= 2.67240e-09s Estimated Time Left: 0:01:37        
27.50% Tran Time= 2.74979e-09s Estimated Time Left: 0:01:36        
28.30% Tran Time= 2.82963e-09s Estimated Time Left: 0:01:34        
29.08% Tran Time= 2.90779e-09s Estimated Time Left: 0:01:33        
30.05% Tran Time= 3.00500e-09s Estimated Time Left: 0:01:31        
30.89% Tran Time= 3.08942e-09s Estimated Time Left: 0:01:30        
31.73% Tran Time= 3.17345e-09s Estimated Time Left: 0:01:29        
32.57% Tran Time= 3.25694e-09s Estimated Time Left: 0:01:27        
33.33% Tran Time= 3.33275e-09s Estimated Time Left: 0:01:26        
34.09% Tran Time= 3.40895e-09s Estimated Time Left: 0:01:26        
34.87% Tran Time= 3.48724e-09s Estimated Time Left: 0:01:24        
35.64% Tran Time= 3.56445e-09s Estimated Time Left: 0:01:23        
36.47% Tran Time= 3.64709e-09s Estimated Time Left: 0:01:22        
37.67% Tran Time= 3.76655e-09s Estimated Time Left: 0:01:20        
38.61% Tran Time= 3.86110e-09s Estimated Time Left: 0:01:18        
39.42% Tran Time= 3.94153e-09s Estimated Time Left: 0:01:17        
40.25% Tran Time= 4.02501e-09s Estimated Time Left: 0:01:16        
41.06% Tran Time= 4.10551e-09s Estimated Time Left: 0:01:15        
42.04% Tran Time= 4.20433e-09s Estimated Time Left: 0:01:13        
42.88% Tran Time= 4.28758e-09s Estimated Time Left: 0:01:12        
43.69% Tran Time= 4.36938e-09s Estimated Time Left: 0:01:11        
44.53% Tran Time= 4.45291e-09s Estimated Time Left: 0:01:10        
45.26% Tran Time= 4.52587e-09s Estimated Time Left: 0:01:09        
46.06% Tran Time= 4.60558e-09s Estimated Time Left: 0:01:08        
46.84% Tran Time= 4.68410e-09s Estimated Time Left: 0:01:07        
47.67% Tran Time= 4.76656e-09s Estimated Time Left: 0:01:06        
48.45% Tran Time= 4.84506e-09s Estimated Time Left: 0:01:05        
49.29% Tran Time= 4.92938e-09s Estimated Time Left: 0:01:04        
50.10% Tran Time= 5.00995e-09s Estimated Time Left: 0:01:03        
51.14% Tran Time= 5.11358e-09s Estimated Time Left: 0:01:01        
51.99% Tran Time= 5.19893e-09s Estimated Time Left: 0:01:00        
52.81% Tran Time= 5.28132e-09s Estimated Time Left: 0:00:59        
53.72% Tran Time= 5.37186e-09s Estimated Time Left: 0:00:58        
54.53% Tran Time= 5.45309e-09s Estimated Time Left: 0:00:57        
55.46% Tran Time= 5.54589e-09s Estimated Time Left: 0:00:55        
56.45% Tran Time= 5.64521e-09s Estimated Time Left: 0:00:54        
57.27% Tran Time= 5.72655e-09s Estimated Time Left: 0:00:53        
58.10% Tran Time= 5.81014e-09s Estimated Time Left: 0:00:52        
58.91% Tran Time= 5.89115e-09s Estimated Time Left: 0:00:51        
59.72% Tran Time= 5.97180e-09s Estimated Time Left: 0:00:50        
60.55% Tran Time= 6.05500e-09s Estimated Time Left: 0:00:49        
61.51% Tran Time= 6.15083e-09s Estimated Time Left: 0:00:48        
62.43% Tran Time= 6.24294e-09s Estimated Time Left: 0:00:46        
63.23% Tran Time= 6.32261e-09s Estimated Time Left: 0:00:45        
64.28% Tran Time= 6.42827e-09s Estimated Time Left: 0:00:44        
65.50% Tran Time= 6.55015e-09s Estimated Time Left: 0:00:42        
66.37% Tran Time= 6.63675e-09s Estimated Time Left: 0:00:41        
67.17% Tran Time= 6.71723e-09s Estimated Time Left: 0:00:40        
67.98% Tran Time= 6.79764e-09s Estimated Time Left: 0:00:39        
68.78% Tran Time= 6.87778e-09s Estimated Time Left: 0:00:38        
69.55% Tran Time= 6.95476e-09s Estimated Time Left: 0:00:37        
70.51% Tran Time= 7.05062e-09s Estimated Time Left: 0:00:36        
71.33% Tran Time= 7.13263e-09s Estimated Time Left: 0:00:35        
72.19% Tran Time= 7.21924e-09s Estimated Time Left: 0:00:34        
73.04% Tran Time= 7.30401e-09s Estimated Time Left: 0:00:33        
73.84% Tran Time= 7.38405e-09s Estimated Time Left: 0:00:32        
74.66% Tran Time= 7.46639e-09s Estimated Time Left: 0:00:31        
75.80% Tran Time= 7.58000e-09s Estimated Time Left: 0:00:29        
76.80% Tran Time= 7.67995e-09s Estimated Time Left: 0:00:28        
77.88% Tran Time= 7.78808e-09s Estimated Time Left: 0:00:26        
78.76% Tran Time= 7.87588e-09s Estimated Time Left: 0:00:25        
79.69% Tran Time= 7.96936e-09s Estimated Time Left: 0:00:24        
