Using: /mnt/apps/public/COE/synopsys_apps/hspice/W-2024.09-SP1/hspice/linux64/hspice  -i '/mnt/coe/workspace/ece/ece546-spr25/group8/group8_project/simulation/group8,tb2025_1,schematic/history_1/simulation/HSPICE_default/HSPICE/nominal/netlist/input.spi' -o 'hspice'

0.00% Tran Time= 1.00000e-13s Estimated Time Left:48:28:43        
1.13% Tran Time= 5.66342e-11s Estimated Time Left: 0:06:32        
1.92% Tran Time= 9.59781e-11s Estimated Time Left: 0:04:40        
2.71% Tran Time= 1.35281e-10s Estimated Time Left: 0:03:54        
3.51% Tran Time= 1.75349e-10s Estimated Time Left: 0:03:26        
4.34% Tran Time= 2.17049e-10s Estimated Time Left: 0:03:07        
5.10% Tran Time= 2.55161e-10s Estimated Time Left: 0:02:57        
5.91% Tran Time= 2.95593e-10s Estimated Time Left: 0:02:47        
6.75% Tran Time= 3.37737e-10s Estimated Time Left: 0:02:39        
7.55% Tran Time= 3.77495e-10s Estimated Time Left: 0:02:33        
8.36% Tran Time= 4.18176e-10s Estimated Time Left: 0:02:28        
9.17% Tran Time= 4.58372e-10s Estimated Time Left: 0:02:24        
9.99% Tran Time= 4.99347e-10s Estimated Time Left: 0:02:20        
10.78% Tran Time= 5.39112e-10s Estimated Time Left: 0:02:17        
11.62% Tran Time= 5.81159e-10s Estimated Time Left: 0:02:13        
12.43% Tran Time= 6.21522e-10s Estimated Time Left: 0:02:10        
13.20% Tran Time= 6.59984e-10s Estimated Time Left: 0:02:08        
14.03% Tran Time= 7.01524e-10s Estimated Time Left: 0:02:06        
14.86% Tran Time= 7.42910e-10s Estimated Time Left: 0:02:03        
15.74% Tran Time= 7.87121e-10s Estimated Time Left: 0:02:01        
16.53% Tran Time= 8.26402e-10s Estimated Time Left: 0:01:59        
17.39% Tran Time= 8.69490e-10s Estimated Time Left: 0:01:56        
18.19% Tran Time= 9.09511e-10s Estimated Time Left: 0:01:55        
18.99% Tran Time= 9.49424e-10s Estimated Time Left: 0:01:53        
19.79% Tran Time= 9.89394e-10s Estimated Time Left: 0:01:52        
20.60% Tran Time= 1.03000e-09s Estimated Time Left: 0:01:50        
21.40% Tran Time= 1.06993e-09s Estimated Time Left: 0:01:48        
22.22% Tran Time= 1.11100e-09s Estimated Time Left: 0:01:47        
23.01% Tran Time= 1.15056e-09s Estimated Time Left: 0:01:45        
23.80% Tran Time= 1.18979e-09s Estimated Time Left: 0:01:44        
24.62% Tran Time= 1.23121e-09s Estimated Time Left: 0:01:43        
25.44% Tran Time= 1.27196e-09s Estimated Time Left: 0:01:41        
26.23% Tran Time= 1.31174e-09s Estimated Time Left: 0:01:40        
27.03% Tran Time= 1.35157e-09s Estimated Time Left: 0:01:39        
27.87% Tran Time= 1.39331e-09s Estimated Time Left: 0:01:37        
28.54% Tran Time= 1.42677e-09s Estimated Time Left: 0:01:36        
29.37% Tran Time= 1.46837e-09s Estimated Time Left: 0:01:35        
30.14% Tran Time= 1.50702e-09s Estimated Time Left: 0:01:34        
30.91% Tran Time= 1.54543e-09s Estimated Time Left: 0:01:33        
31.73% Tran Time= 1.58672e-09s Estimated Time Left: 0:01:31        
32.49% Tran Time= 1.62431e-09s Estimated Time Left: 0:01:30        
33.34% Tran Time= 1.66681e-09s Estimated Time Left: 0:01:29        
34.05% Tran Time= 1.70244e-09s Estimated Time Left: 0:01:28        
34.94% Tran Time= 1.74706e-09s Estimated Time Left: 0:01:27        
35.65% Tran Time= 1.78258e-09s Estimated Time Left: 0:01:26        
36.46% Tran Time= 1.82281e-09s Estimated Time Left: 0:01:25        
37.24% Tran Time= 1.86194e-09s Estimated Time Left: 0:01:23        
38.00% Tran Time= 1.90000e-09s Estimated Time Left: 0:01:22        
38.84% Tran Time= 1.94220e-09s Estimated Time Left: 0:01:21        
39.59% Tran Time= 1.97928e-09s Estimated Time Left: 0:01:20        
40.46% Tran Time= 2.02325e-09s Estimated Time Left: 0:01:19        
41.12% Tran Time= 2.05624e-09s Estimated Time Left: 0:01:18        
41.97% Tran Time= 2.09844e-09s Estimated Time Left: 0:01:17        
42.75% Tran Time= 2.13735e-09s Estimated Time Left: 0:01:16        
43.56% Tran Time= 2.17818e-09s Estimated Time Left: 0:01:14        
44.42% Tran Time= 2.22116e-09s Estimated Time Left: 0:01:13        
45.20% Tran Time= 2.26023e-09s Estimated Time Left: 0:01:12        
46.03% Tran Time= 2.30163e-09s Estimated Time Left: 0:01:11        
46.77% Tran Time= 2.33854e-09s Estimated Time Left: 0:01:10        
47.65% Tran Time= 2.38270e-09s Estimated Time Left: 0:01:09        
48.34% Tran Time= 2.41694e-09s Estimated Time Left: 0:01:08        
49.20% Tran Time= 2.46006e-09s Estimated Time Left: 0:01:06        
49.95% Tran Time= 2.49740e-09s Estimated Time Left: 0:01:06        
50.75% Tran Time= 2.53748e-09s Estimated Time Left: 0:01:04        
51.59% Tran Time= 2.57930e-09s Estimated Time Left: 0:01:03        
52.29% Tran Time= 2.61471e-09s Estimated Time Left: 0:01:02        
53.19% Tran Time= 2.65953e-09s Estimated Time Left: 0:01:01        
53.94% Tran Time= 2.69676e-09s Estimated Time Left: 0:01:00        
54.90% Tran Time= 2.74515e-09s Estimated Time Left: 0:00:59        
55.65% Tran Time= 2.78257e-09s Estimated Time Left: 0:00:58        
56.61% Tran Time= 2.83034e-09s Estimated Time Left: 0:00:56        
57.31% Tran Time= 2.86555e-09s Estimated Time Left: 0:00:55        
58.22% Tran Time= 2.91086e-09s Estimated Time Left: 0:00:54        
58.99% Tran Time= 2.94932e-09s Estimated Time Left: 0:00:53        
59.89% Tran Time= 2.99459e-09s Estimated Time Left: 0:00:52        
60.73% Tran Time= 3.03654e-09s Estimated Time Left: 0:00:51        
61.60% Tran Time= 3.07986e-09s Estimated Time Left: 0:00:49        
62.48% Tran Time= 3.12388e-09s Estimated Time Left: 0:00:48        
63.30% Tran Time= 3.16524e-09s Estimated Time Left: 0:00:47        
64.19% Tran Time= 3.20965e-09s Estimated Time Left: 0:00:46        
65.00% Tran Time= 3.25008e-09s Estimated Time Left: 0:00:45        
65.92% Tran Time= 3.29619e-09s Estimated Time Left: 0:00:43        
66.66% Tran Time= 3.33295e-09s Estimated Time Left: 0:00:43        
67.64% Tran Time= 3.38220e-09s Estimated Time Left: 0:00:41        
68.40% Tran Time= 3.42000e-09s Estimated Time Left: 0:00:40        
69.39% Tran Time= 3.46961e-09s Estimated Time Left: 0:00:39        
70.13% Tran Time= 3.50644e-09s Estimated Time Left: 0:00:38        
71.13% Tran Time= 3.55665e-09s Estimated Time Left: 0:00:36        
71.88% Tran Time= 3.59392e-09s Estimated Time Left: 0:00:36        
72.86% Tran Time= 3.64310e-09s Estimated Time Left: 0:00:34        
73.58% Tran Time= 3.67899e-09s Estimated Time Left: 0:00:33        
74.52% Tran Time= 3.72622e-09s Estimated Time Left: 0:00:32        
75.28% Tran Time= 3.76416e-09s Estimated Time Left: 0:00:31        
76.19% Tran Time= 3.80974e-09s Estimated Time Left: 0:00:30        
76.96% Tran Time= 3.84818e-09s Estimated Time Left: 0:00:29        
77.83% Tran Time= 3.89175e-09s Estimated Time Left: 0:00:28        
78.70% Tran Time= 3.93505e-09s Estimated Time Left: 0:00:27        
79.54% Tran Time= 3.97694e-09s Estimated Time Left: 0:00:26        
80.42% Tran Time= 4.02084e-09s Estimated Time Left: 0:00:24        
81.25% Tran Time= 4.06247e-09s Estimated Time Left: 0:00:23        
82.17% Tran Time= 4.10867e-09s Estimated Time Left: 0:00:22        
82.97% Tran Time= 4.14834e-09s Estimated Time Left: 0:00:21        
83.90% Tran Time= 4.19507e-09s Estimated Time Left: 0:00:20        
84.64% Tran Time= 4.23220e-09s Estimated Time Left: 0:00:19        
85.62% Tran Time= 4.28123e-09s Estimated Time Left: 0:00:18        
86.39% Tran Time= 4.31945e-09s Estimated Time Left: 0:00:17        
87.36% Tran Time= 4.36814e-09s Estimated Time Left: 0:00:15        
88.13% Tran Time= 4.40648e-09s Estimated Time Left: 0:00:14        
89.10% Tran Time= 4.45500e-09s Estimated Time Left: 0:00:13        
89.83% Tran Time= 4.49169e-09s Estimated Time Left: 0:00:12        
90.78% Tran Time= 4.53882e-09s Estimated Time Left: 0:00:11        
91.54% Tran Time= 4.57698e-09s Estimated Time Left: 0:00:10        
92.45% Tran Time= 4.62232e-09s Estimated Time Left: 0:00:09        
93.21% Tran Time= 4.66046e-09s Estimated Time Left: 0:00:08        
94.15% Tran Time= 4.70746e-09s Estimated Time Left: 0:00:07        
94.97% Tran Time= 4.74832e-09s Estimated Time Left: 0:00:06        
95.85% Tran Time= 4.79272e-09s Estimated Time Left: 0:00:05        
96.71% Tran Time= 4.83540e-09s Estimated Time Left: 0:00:04        
97.58% Tran Time= 4.87876e-09s Estimated Time Left: 0:00:03        
98.45% Tran Time= 4.92260e-09s Estimated Time Left: 0:00:01        
99.27% Tran Time= 4.96363e-09s Estimated Time Left: 0:00:00        
>info:         ***** hspice job concluded
