Using: /mnt/apps/public/COE/synopsys_apps/hspice/W-2024.09-SP1/hspice/linux64/hspice  -i '/mnt/coe/workspace/ece/ece546-spr25/group8/group8_project/simulation/group8,tb2025_final,schematic/history_1/simulation/HSPICE_default/HSPICE/nominal/netlist/input.spi' -o 'hspice'

0.00% Tran Time= 1.00000e-13s Estimated Time Left:25:58:19        
2.06% Tran Time= 5.75801e-11s Estimated Time Left: 0:03:27        
3.43% Tran Time= 9.59850e-11s Estimated Time Left: 0:02:30        
4.78% Tran Time= 1.33797e-10s Estimated Time Left: 0:02:06        
6.06% Tran Time= 1.69612e-10s Estimated Time Left: 0:01:54        
7.33% Tran Time= 2.05377e-10s Estimated Time Left: 0:01:45        
8.78% Tran Time= 2.45760e-10s Estimated Time Left: 0:01:37        
10.06% Tran Time= 2.81637e-10s Estimated Time Left: 0:01:32        
11.53% Tran Time= 3.22920e-10s Estimated Time Left: 0:01:27        
12.92% Tran Time= 3.61628e-10s Estimated Time Left: 0:01:23        
14.23% Tran Time= 3.98339e-10s Estimated Time Left: 0:01:20        
15.55% Tran Time= 4.35403e-10s Estimated Time Left: 0:01:18        
16.87% Tran Time= 4.72445e-10s Estimated Time Left: 0:01:15        
18.35% Tran Time= 5.13760e-10s Estimated Time Left: 0:01:13        
19.67% Tran Time= 5.50880e-10s Estimated Time Left: 0:01:11        
21.13% Tran Time= 5.91677e-10s Estimated Time Left: 0:01:08        
22.50% Tran Time= 6.29880e-10s Estimated Time Left: 0:01:06        
23.87% Tran Time= 6.68237e-10s Estimated Time Left: 0:01:05        
25.19% Tran Time= 7.05402e-10s Estimated Time Left: 0:01:03        
26.55% Tran Time= 7.43499e-10s Estimated Time Left: 0:01:02        
28.01% Tran Time= 7.84381e-10s Estimated Time Left: 0:01:00        
29.39% Tran Time= 8.23000e-10s Estimated Time Left: 0:00:58        
30.80% Tran Time= 8.62394e-10s Estimated Time Left: 0:00:57        
32.21% Tran Time= 9.01913e-10s Estimated Time Left: 0:00:55        
33.56% Tran Time= 9.39761e-10s Estimated Time Left: 0:00:54        
34.92% Tran Time= 9.77897e-10s Estimated Time Left: 0:00:53        
36.20% Tran Time= 1.01361e-09s Estimated Time Left: 0:00:51        
37.65% Tran Time= 1.05426e-09s Estimated Time Left: 0:00:50        
39.01% Tran Time= 1.09228e-09s Estimated Time Left: 0:00:49        
40.38% Tran Time= 1.13060e-09s Estimated Time Left: 0:00:47        
41.79% Tran Time= 1.17000e-09s Estimated Time Left: 0:00:46        
43.11% Tran Time= 1.20702e-09s Estimated Time Left: 0:00:45        
44.41% Tran Time= 1.24359e-09s Estimated Time Left: 0:00:44        
45.78% Tran Time= 1.28188e-09s Estimated Time Left: 0:00:43        
47.24% Tran Time= 1.32267e-09s Estimated Time Left: 0:00:41        
48.58% Tran Time= 1.36018e-09s Estimated Time Left: 0:00:40        
50.00% Tran Time= 1.40000e-09s Estimated Time Left: 0:00:39        
51.20% Tran Time= 1.43352e-09s Estimated Time Left: 0:00:38        
52.63% Tran Time= 1.47367e-09s Estimated Time Left: 0:00:37        
53.96% Tran Time= 1.51079e-09s Estimated Time Left: 0:00:36        
55.27% Tran Time= 1.54752e-09s Estimated Time Left: 0:00:35        
56.76% Tran Time= 1.58920e-09s Estimated Time Left: 0:00:33        
58.05% Tran Time= 1.62539e-09s Estimated Time Left: 0:00:32        
59.48% Tran Time= 1.66541e-09s Estimated Time Left: 0:00:31        
60.70% Tran Time= 1.69961e-09s Estimated Time Left: 0:00:30        
62.08% Tran Time= 1.73837e-09s Estimated Time Left: 0:00:29        
63.57% Tran Time= 1.77996e-09s Estimated Time Left: 0:00:28        
64.88% Tran Time= 1.81659e-09s Estimated Time Left: 0:00:27        
66.39% Tran Time= 1.85899e-09s Estimated Time Left: 0:00:26        
67.68% Tran Time= 1.89500e-09s Estimated Time Left: 0:00:25        
69.15% Tran Time= 1.93616e-09s Estimated Time Left: 0:00:23        
70.37% Tran Time= 1.97042e-09s Estimated Time Left: 0:00:23        
71.72% Tran Time= 2.00819e-09s Estimated Time Left: 0:00:21        
73.11% Tran Time= 2.04710e-09s Estimated Time Left: 0:00:20        
74.40% Tran Time= 2.08322e-09s Estimated Time Left: 0:00:19        
76.05% Tran Time= 2.12951e-09s Estimated Time Left: 0:00:18        
77.32% Tran Time= 2.16500e-09s Estimated Time Left: 0:00:17        
78.93% Tran Time= 2.21000e-09s Estimated Time Left: 0:00:16        
80.13% Tran Time= 2.24369e-09s Estimated Time Left: 0:00:15        
81.50% Tran Time= 2.28209e-09s Estimated Time Left: 0:00:14        
82.84% Tran Time= 2.31965e-09s Estimated Time Left: 0:00:13        
84.18% Tran Time= 2.35704e-09s Estimated Time Left: 0:00:12        
85.70% Tran Time= 2.39970e-09s Estimated Time Left: 0:00:10        
86.98% Tran Time= 2.43539e-09s Estimated Time Left: 0:00:10        
88.57% Tran Time= 2.48000e-09s Estimated Time Left: 0:00:08        
89.82% Tran Time= 2.51495e-09s Estimated Time Left: 0:00:07        
91.08% Tran Time= 2.55031e-09s Estimated Time Left: 0:00:06        
92.45% Tran Time= 2.58848e-09s Estimated Time Left: 0:00:05        
93.73% Tran Time= 2.62435e-09s Estimated Time Left: 0:00:04        
95.32% Tran Time= 2.66897e-09s Estimated Time Left: 0:00:03        
96.60% Tran Time= 2.70488e-09s Estimated Time Left: 0:00:02        
98.29% Tran Time= 2.75204e-09s Estimated Time Left: 0:00:01        
99.62% Tran Time= 2.78925e-09s Estimated Time Left: 0:00:00        
>info:         ***** hspice job concluded
