parent_module,inst_name,cell_type,clock_net,reset_net,issue
regfile,U_RF0,DFF,UNKNOWN,NONE,UNCLOCKED
regfile,U_RF1,DFF,UNKNOWN,NONE,UNCLOCKED
regfile,U_RF2,DFF,UNKNOWN,NONE,UNCLOCKED
regfile,U_RF3,DFF,UNKNOWN,NONE,UNCLOCKED
alu,U_ALU_REG0,DFF,UNKNOWN,NONE,UNCLOCKED
alu,U_ALU_REG1,DFF,UNKNOWN,NONE,UNCLOCKED
alu,U_ALU_REG2,DFF,UNKNOWN,NONE,UNCLOCKED
alu,U_ALU_REG3,DFF,UNKNOWN,NONE,UNCLOCKED
regfile,U_RF0,DFF,UNKNOWN,NONE,UNRESET
regfile,U_RF1,DFF,UNKNOWN,NONE,UNRESET
regfile,U_RF2,DFF,UNKNOWN,NONE,UNRESET
regfile,U_RF3,DFF,UNKNOWN,NONE,UNRESET
core,U_RF,regfile,clk,NONE,UNRESET
alu,U_ALU_REG0,DFF,UNKNOWN,NONE,UNRESET
alu,U_ALU_REG1,DFF,UNKNOWN,NONE,UNRESET
alu,U_ALU_REG2,DFF,UNKNOWN,NONE,UNRESET
alu,U_ALU_REG3,DFF,UNKNOWN,NONE,UNRESET
